Wall time,Step,Value
1659662715.8416834,0,0.185791015625
1659662717.182858,1,0.1068115234375
1659662718.5344577,2,0.087158203125
1659662719.8781364,3,0.08367919921875
1659662721.21462,4,0.0780029296875
1659662722.5427942,5,0.07208251953125
1659662723.8761756,6,0.0704345703125
1659662725.2249875,7,0.06817626953125
1659662726.5495923,8,0.06683349609375
1659662727.8749077,9,0.0645751953125
1659662729.2327569,10,0.06329345703125
1659662730.5574603,11,0.06256103515625
1659662731.9115956,12,0.061279296875
1659662733.261756,13,0.06036376953125
1659662734.564268,14,0.0601806640625
1659662735.8886995,15,0.059661865234375
1659662737.2327387,16,0.0584716796875
1659662738.544348,17,0.057769775390625
1659662739.8568358,18,0.0574951171875
1659662741.2177582,19,0.057098388671875
1659662742.552639,20,0.0567626953125
1659662743.8836155,21,0.05621337890625
1659662745.2088108,22,0.0560302734375
1659662746.5375748,23,0.055206298828125
1659662747.8900652,24,0.0552978515625
1659662749.205433,25,0.054901123046875
1659662750.5222864,26,0.0545654296875
1659662751.8581197,27,0.0545654296875
1659662753.1990197,28,0.05413818359375
1659662754.5245578,29,0.053680419921875
1659662755.846452,30,0.05340576171875
1659662757.1822526,31,0.053497314453125
1659662758.5170593,32,0.05279541015625
1659662759.842118,33,0.052764892578125
1659662761.1125345,34,0.052886962890625
1659662762.3930135,35,0.052398681640625
1659662763.691529,36,0.0526123046875
1659662765.0278313,37,0.05218505859375
1659662766.3596363,38,0.0518798828125
1659662767.6854327,39,0.052001953125
1659662769.0201497,40,0.051361083984375
1659662770.3914254,41,0.051666259765625
1659662771.7061815,42,0.05133056640625
1659662773.0348058,43,0.051116943359375
1659662774.3522122,44,0.0511474609375
1659662775.6760914,45,0.0513916015625
1659662777.0195801,46,0.050567626953125
1659662778.3561301,47,0.050689697265625
1659662779.6657474,48,0.050689697265625
1659662780.9852538,49,0.050689697265625
1659662782.302806,50,0.05035400390625
1659662783.636425,51,0.05010986328125
1659662784.9419806,52,0.04998779296875
1659662786.2722273,53,0.0501708984375
1659662787.6212718,54,0.0496826171875
1659662788.9320385,55,0.0498046875
1659662790.2407918,56,0.049774169921875
1659662791.5511868,57,0.049957275390625
1659662792.9193044,58,0.049407958984375
1659662794.2558517,59,0.049407958984375
1659662795.5790231,60,0.049224853515625
1659662796.8830092,61,0.049224853515625
1659662798.1991882,62,0.048919677734375
1659662799.5138645,63,0.0489501953125
1659662800.8411586,64,0.04901123046875
1659662802.1657088,65,0.0487060546875
1659662803.4700096,66,0.04876708984375
1659662804.7917662,67,0.0487060546875
1659662806.1126797,68,0.048492431640625
1659662807.4108908,69,0.048828125
1659662808.6976125,70,0.048248291015625
1659662810.0224774,71,0.04827880859375
1659662811.3287435,72,0.04840087890625
1659662812.646774,73,0.048309326171875
1659662813.9464407,74,0.047943115234375
1659662815.2721503,75,0.0482177734375
1659662816.599132,76,0.04827880859375
1659662817.9157693,77,0.04791259765625
1659662819.2222083,78,0.04815673828125
1659662820.5136342,79,0.04766845703125
1659662821.8174834,80,0.04803466796875
1659662823.108453,81,0.047943115234375
1659662824.4270859,82,0.047515869140625
1659662825.7371686,83,0.047637939453125
1659662827.035445,84,0.04742431640625
1659662828.3329453,85,0.045684814453125
1659662829.597051,86,0.0450439453125
1659662830.874135,87,0.04498291015625
1659662832.1869462,88,0.044921875
1659662833.5313516,89,0.044891357421875
1659662834.8251193,90,0.04486083984375
1659662836.117493,91,0.044830322265625
1659662837.433016,92,0.0447998046875
1659662838.7689824,93,0.044769287109375
